Samples	78_15	89_39	29_8	53_51	37_4	67_56	39_61	83_1	20_14	12_40	9_52	47_54	30_70	75_75	15_9	79_11	42_49	95_64	38_68	34_69	27_28	2_3	94_7	24_10	90_45	70_13	44_59	54_66	7_72	28_47	4_19	77_5	50_20	84_32	64_43	43_48	14_22	25_55	40_74	17_57	32_58	23_60	73_67	93_73
Lysine	1.4092918	1.322876	1.0158993	0.9562599	1.0543933	1.043002	1.004004	0.9302338	1.0775189	0.9437058	1.2913764	0.9849015	0.8965048	0.628012	0.9589777	1.2414561	0.5831105	1.1212727	1.0238445	1.1579785	0.6578803	1.3179493	0.9279302	1.316413	1.0943306	1.2765861	1.2915303	1.0675323	0.8094176	0.7334466	1.218911	0.9667638	1.198514	1.1538612	0.5772056	0.8326301	0.7349252	1.0306172	0.6600314	0.7631275	1.1219521	1.2713234	0.9338523	0.8076913
Glutamine	1.6805383	1.4099875	1.098883	0.9588197	1.117382	1.1242971	1.0285378	0.9553475	1.1881901	0.8857632	1.353326	1.0250534	0.9363447	0.5949191	0.9370086	1.3543589	0.5048161	1.2102907	1.023047	1.1610692	0.6162269	1.4179987	0.9467839	1.5037126	1.0690592	1.377225	1.3962226	1.0654388	0.7463732	0.6974623	1.1997552	0.9845143	1.2401106	1.1187006	0.5142284	0.842409	0.6924122	1.057165	0.5847169	0.7019804	1.2655844	1.3675553	0.9420521	0.7772477
Glutamate	0.9181046	1.3132615	1.0344404	1.0353846	0.6127128	1.1598309	0.7641479	1.1635371	1.163095	0.8441427	0.888045	0.9804132	0.9247058	0.3565945	1.2494421	1.2433774	0.6875534	0.5483524	0.800952	1.2111349	0.9736383	1.1711957	1.0969361	1.2429818	1.1466585	1.2780877	1.0356874	0.940871	1.1120061	0.9453898	1.0132074	0.7746941	0.8503789	1.2401151	0.7630199	0.9692949	0.9255649	1.0497658	0.9798368	0.7130226	1.1734304	1.3267662	0.9461439	1.0619211
Methionine	2.4274027	3.2262762	1.8216958	1.0292181	1.4057665	3.4103954	1.4545528	2.1781127	1.365388	1.2825804	1.9221941	0.9534446	1.3992457	0.2346128	1.1631207	0.8055846	0.5629987	1.3292509	0.5940519	0.8420281	0.7848304	0.9520726	1.1443803	1.3375409	0.9379682	1.4055277	1.8044084	1.7407838	1.0326871	0.7480933	1.3019836	4.4867341	0.7319547	1.4353739	0.3945977	0.5308765	0.6088743	0.7465309	0.6087634	0.3255302	1.1619543	1.2150048	0.4225705	0.6734138
Histidine	2.00349232	4.2685521	0.30021894	3.26275605	0.3155529	3.07521864	0.14474611	2.78639003	0.32433578	0.16350445	0.35595205	0.2117807	0.24004133	0.07581208	4.80385827	0.28075395	0.1579134	0.46864053	0.1135413	0.29345055	0.15353908	0.35921987	0.1979455	0.2995055	0.29787696	0.42162902	0.34856668	0.49194585	0.19394077	0.14921215	0.33002045	0.69331447	0.27117294	0.46984354	0.10776894	0.10100857	0.11739731	0.15023463	0.12620485	0.12907904	0.20100898	0.230762	0.14283097	0.23924642
Phenylalanine	2.8592468	2.6741452	1.01137	1.0059851	1.7872389	2.2723069	0.8832541	0.8975679	0.7555148	1.1815103	0.7231945	0.863833	0.8667989	0.7095214	1.3457441	1.3110177	0.7367359	1.6604851	0.7028064	1.114449	0.7652091	1.2150164	1.2018372	1.365881	1.4673872	1.6644428	1.8549432	1.7710441	1.0344729	0.9820531	1.6160664	3.997517	0.9848059	1.6269524	0.840805	0.6391262	0.7254753	0.9699014	1.002865	0.5808922	1.3758556	1.3965092	0.7640282	1.0757188
Arginine	2.1771066	2.354164	1.0107385	0.6280254	0.7607025	2.3064388	0.5762104	0.7112269	1.0056556	0.7864484	0.5867483	0.7537934	0.440224	0.3395746	0.5045858	1.2541152	0.9242302	2.0598466	0.7848201	1.3245193	1.021742	1.7842514	1.2785591	2.2857892	1.6390691	1.7086429	2.6339969	1.1263117	0.7633929	0.9141958	1.1653795	1.9136759	1.1571792	1.7405064	0.7722905	0.8351888	0.439342	1.0424548	0.6658226	0.6797267	1.3967683	1.1984865	0.8242906	0.8538427
Tyrosine	1.8767849	2.314989	1.3371849	1.2490063	0.9623557	2.2779968	0.632752	0.7348442	1.003364	0.9987558	0.562451	0.8721644	0.7519129	0.4208712	0.6032451	0.766174	0.385448	1.4451885	0.4577029	1.0646247	1.0944164	1.7037114	0.9849544	0.9207582	2.2676539	1.588582	1.8692405	2.096615	1.1505593	0.7900017	1.1799254	4.7680119	0.8479332	2.2397636	0.6054073	0.6704085	0.9228257	0.8337233	0.7946252	0.5263755	2.0382417	2.4619367	0.9328301	1.1057243
Tryptophan	2.7390155	2.217286	0.2589922	0.8241359	1.2329643	2.106843	0.637405	0.5973593	0.6201375	0.9505355	0.3652405	0.7814561	0.5565908	0.3466688	0.5740657	1.0181548	0.8536514	2.4800452	0.5773341	1.3221801	1.4051344	1.7603385	1.4660728	1.4228207	3.0739643	1.7502366	1.7739753	2.6089578	1.3229756	1.2132391	1.6871866	3.8081251	0.9233358	2.0072645	0.9699436	0.7547096	0.9873812	1.0411868	0.9469209	0.5950497	1.8735895	2.3178133	1.109074	1.4992308
Asparagine	1.3600734	0.9974689	1.0018425	1.2973844	1.2057484	1.371059	1.4847662	0.9393784	1.0481681	1.1392147	1.4044905	0.9880457	1.1398218	0.5860228	1.3338275	0.7069942	0.8285186	1.1196549	0.8381745	0.9239346	0.6771712	0.8678771	0.6328249	0.7487035	0.9607105	0.7726103	0.8923978	1.0154897	0.9090062	0.7709291	1.0047895	2.721651	0.893127	1.1185503	0.5478794	0.7691038	0.6273676	0.6064479	0.6147272	0.4873293	0.7731814	0.9449334	1.1459439	0.6789635
1-methylhistamine	0.9346502	0.9967288	0.9921519	0.9364427	1.1106138	0.9063923	1.1095145	0.9550027	0.9515052	1.0506567	1.0723493	0.9915018	0.9585443	0.9909336	0.9848367	1.0198961	1.0424794	0.9860424	1.0429893	1.1605707	1.0323596	1.0431629	0.9314134	0.915732	0.9293903	0.9899603	1.0134152	0.9512892	0.931751	1.1057784	0.9164294	0.9548708	0.964572	1.08845	0.7419476	0.9487281	1.1115482	1.0372381	1.1594775	1.0138937	0.9680899	0.9893087	0.9387445	0.9970259
2-deoxyadenosine	0.382104	0.8502876	1.7523501	1.1650321	0.9025543	0.9900612	1.7075599	1.0723618	1.9751351	1.7899941	2.3137724	0.3419911	2.6183371	0.9439502	0.7678661	0.7464343	3.5983936	2.6565243	2.5883777	2.8060992	3.7228998	0.8001041	1.449769	1.9580312	0.392303	1.9929109	0.704667	0.7131799	0.7965495	1.6882662	0.5714989	1.1946356	0.6147026	0.3587244	1.1864112	1.1101039	1.6543033	2.2538689	3.2053034	3.9489412	4.1425288	1.9277443	1.9731078	2.099854
2-deoxycytidine	0.2819526	0.4056462	0.906811	0.174432	0.3522175	2.6781567	0.1528695	0.2542014	0.2439179	0.7372509	0.6111934	0.3986117	0.3689826	0.5726787	0.1436466	1.7171058	0.4629858	0.7103616	1.0139987	3.15012	0.9648672	2.0451802	2.7344769	2.5173824	3.2463994	4.5411241	2.3693756	2.8609153	1.3002792	0.9144012	1.6452426	1.4461508	0.84361	3.6375409	0.7199083	0.3748761	0.9869717	1.3724203	1.1960924	0.8185002	2.689457	1.8352219	1.0999474	0.645239
5-HIAA	2.6552442	1.7384712	1.0774607	0.9232313	1.2942734	1.1465108	0.7489923	2.3243611	0.9473909	1.1562474	1.3065037	0.9708078	0.9728185	0.762616	0.7070638	1.6847751	0.9370668	1.1034057	0.8245034	1.0459639	0.7615832	1.1176911	1.2848924	1.2094897	1.1022661	1.13738	1.5219629	1.2543888	1.13869	0.9814072	1.3506748	2.3423826	0.8232277	1.2508589	0.7592088	0.4059634	1.1569493	1.0778866	0.8813126	0.7032209	1.3042157	1.0777941	0.7529162	1.050229
