Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Cohort]	Term Source REF	Term Accession Number
PN-8	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PN-8	HF without depression (HF-NDS)		
PN-9	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PN-9	HF without depression (HF-NDS)		
PN-10	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PN-10	HF without depression (HF-NDS)		
PN-11	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PN-11	HF without depression (HF-NDS)		
PN-12	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PN-12	HF without depression (HF-NDS)		
PN-13	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PN-13	HF without depression (HF-NDS)		
PN-14	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PN-14	HF without depression (HF-NDS)		
PN-15	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PN-15	HF without depression (HF-NDS)		
PN-16	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PN-16	HF without depression (HF-NDS)		
PN-17	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PN-17	HF without depression (HF-NDS)		
PN-18	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PN-18	HF without depression (HF-NDS)		
