heart_cond	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF
studyID	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2
sampleID	C10	C10	C11	C11	C14	C14	C15	C15	C16	C16	C18	C18	C19	C19	C20	C20	C21	C21	C22	C22	C23	C23	C24	C24	HF01	HF01	HF02	HF02	HF03	HF03	HF04	HF04	HF05	HF05	HF06	HF06	HF07	HF07	HF09	HF09	HF12	HF12	HF13	HF13	HF17	HF17
studyID	D2_SALIVA	D2_EBC	D2_EBC	D2_SALIVA	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_EBC	D2_SALIVA	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_SALIVA	D2_EBC	D2_EBC	D2_SALIVA
Propylene glycol	 28.9	  0.0	  0.0	 19.8	 27.5	  0.0	  8.5	  0.0	 17.9	  0.0	  7.4	  0.0	  4.7	  0.0	 47.6	  0.0	  9.9	  0.0	 45.4	  0.0	  9.9	  0.0	  0.0	  9.4	 11.8	  0.0	 53.4	  0.0	 31.1	  0.0	 19.0	  0.0	 20.1	  0.0	 13.5	  0.0	 64.4	  0.0	  0.0	162.3	  0.0	  3.9	  3.6	  0.0	  0.0	 36.9
Histidine	 30.3	  0.0	  0.0	 22.8	 10.7	  0.0	 41.0	  0.0	 47.0	  0.0	  0.0	  0.0	  8.0	  0.0	 18.4	  0.0	 15.4	  0.0	  0.0	  0.0	 25.6	  0.0	  0.0	 49.0	 17.9	  0.0	138.1	  0.0	 37.4	  0.0	 28.1	  0.0	 24.2	  0.0	 19.8	  0.0	 71.5	  0.0	  0.0	 81.1	  0.0	 31.9	 13.8	  0.0	  0.0	 76.2
Citrate	 35.2	  0.0	  0.0	 11.0	 47.0	  0.0	 65.7	  0.0	 46.8	  0.0	 53.1	  0.0	 34.7	  0.0	 42.9	  0.0	 40.4	  0.0	 50.6	  0.0	 72.1	  0.0	  0.0	 29.2	 12.7	  0.0	 29.4	  0.0	 67.1	  0.0	 47.3	  0.0	 58.0	  0.0	 57.8	  0.0	 34.9	  0.0	  0.0	 71.2	  0.0	 13.8	 25.0	  0.0	  0.0	204.1
Putrescine	 35.2	  0.0	  0.0	 50.1	  0.0	  0.0	 30.3	  0.0	  0.0	  0.0	 52.5	  0.0	 38.5	  0.0	  7.4	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	108.1	107.3	  0.0	146.0	  0.0	 25.9	  0.0	  0.0	  0.0	 49.8	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	 11.8	  0.0	  0.0	  0.0	 41.3
Tyrosine	 38.2	  0.0	  0.0	 58.0	 20.4	  0.0	 14.9	  0.0	 49.8	  0.0	 16.8	  0.0	 14.9	  0.0	 14.9	  0.0	  8.5	  0.0	 13.5	  0.0	 36.3	  0.0	  0.0	 69.0	 48.7	  0.0	135.0	  0.0	 34.4	  0.0	 59.1	  0.0	 40.7	  0.0	 18.2	  0.0	129.8	  0.0	  0.0	 65.2	  0.0	 35.8	 19.5	  0.0	  0.0	118.8
Ethanolamine	 46.5	  0.0	  0.0	 89.9	 16.8	  0.0	 11.6	  0.0	130.6	  0.0	  0.0	  0.0	 13.8	  0.0	 20.1	  0.0	  4.7	  0.0	 12.1	  0.0	 40.2	  0.0	  0.0	 57.8	 47.9	  0.0	106.2	  0.0	 16.5	  0.0	 31.4	  0.0	 71.2	  0.0	 30.8	  0.0	 77.8	  0.0	  0.0	 30.5	  0.0	 30.0	 29.7	  0.0	  0.0	  0.0
Proline	 52.8	  0.0	  0.0	 36.0	 14.9	  0.0	 44.0	  0.0	 51.7	  0.0	 50.3	  0.0	 66.8	  0.0	 16.5	  0.0	  0.0	  0.0	 24.8	  0.0	 22.8	  0.0	  0.0	244.2	 41.8	  0.0	207.1	  0.0	 33.6	  0.0	 28.6	  0.0	 64.1	  0.0	 32.2	  0.0	 87.5	  0.0	  0.0	296.5	  0.0	 13.2	 16.5	  0.0	  0.0	 25.6
Ethanol	 54.7	  0.0	  0.0	 74.3	 23.7	  0.0	 16.5	  0.0	 25.3	  0.0	 24.8	  0.0	 15.7	  0.0	 19.5	  0.0	 10.2	  0.0	 15.4	  0.0	 14.3	  0.0	  0.0	 26.4	 72.9	  0.0	 78.1	  0.0	 13.5	  0.0	 21.2	  0.0	 23.4	  0.0	 69.6	  0.0	193.6	  0.0	  0.0	 39.3	  0.0	 28.9	 13.8	  0.0	  0.0	 25.3
Galactose	 57.2	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	 61.1	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	115.5	  0.0	  0.0	 93.5	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0
Fucose	60.0	 0.0	 0.0	57.2	28.6	 0.0	 0.0	 0.0	31.6	 0.0	11.3	 0.0	22.6	 0.0	34.4	 0.0	10.7	 0.0	16.8	 0.0	 0.0	 0.0	 0.0	69.3	79.5	 0.0	89.4	 0.0	69.3	 0.0	32.2	 0.0	81.1	 0.0	23.9	 0.0	33.3	 0.0	 0.0	33.3	 0.0	12.7	17.1	 0.0	 0.0	 0.0
