heart_cond	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS
studyID	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1
sampleID	NM-1	NM-10	NM-11	NM-12	NM-13	NM-14	NM-15	NM-16	NM-17	NM-18	NM-19	NM-2	NM-20	NM-21	NM-22	NM-23	NM-24	NM-3	NM-4	NM-5	NM-6	NM-7	NM-8	NM-9	PD-1	PD-10	PD-11	PD-12	PD-13	PD-14	PD-15	PD-16	PD-17	PD-18	PD-19	PD-2	PD-20	PD-3	PD-4	PD-5	PD-6	PD-7	PD-8	PD-9	PN-10	PN-11	PN-12	PN-13	PN-14	PN-15	PN-16	PN-17	PN-18	PN-19	PN-2	PN-20	PN-3	PN-5	PN-6	PN-7	PN-8	PN-9	RD-1	RD-10	RD-11	RD-12	RD-13	RD-14	RD-15	RD-17	RD-18	RD-19	RD-2	RD-4	RD-5	RD-6	RD-8	RN-1	RN-10	RN-12	RN-13	RN-14	RN-15	RN-16	RN-17	RN-18	RN-19	RN-20	RN-21	RN-3	RN-4	RN-5	RN-6	RN-7	RN-8
Xanthurenic acid	0.00747012	0.008641228	0.007142723	0.005360092	0.026558274	0.003218418	0.000599063	0.013807552	0.013783341	0.003359413	0.022820531	0.006182097	0.001184025	0.009938059	0.004174873	0.016871667	0.001905798	0.002612385	0.012706868	0.000871749	0.007729182	0.000286839	0.025338629	0.01679948	0.000772836	0.002274225	0.001844017	0.001505125	0.030360905	0.000788108	0.001281599	0.001302696	0.001673628	0.004024382	0.000981424	0.0041806	0.000129225	0.000973967	0.019119543	0.012644667	0.00221328	0.009280737	0.000677213	0.004528096	0.001634345	0.002408063	0.002608955	0.021891788	0.000384585	0.0117006	0.000633516	0.000704516	0.001025401	0.004836398	0.000484444	0.001941817	0.001152007	0.003134174	6.28052e-05	0.00570609	0.002314801	0.001639268	0.002530489	0.001015088	0.000445437	0.000458506	0.003152016	0.012786221	1.938e-05	0.009888445	0.00334307	0.003895288	0.00536784	0.002982151	0.000994175	0.003259897	0.011573086	0.005488306	0.063741833	0.002308637	0.004233582	0.001930323	0.004985543	0.001893155	0.002969408	0.001981075	0.001869075	0.002407439	0.00660092	0.001894375	0.000475919	0.000502802	0.001790753	0.000996653	0.001464382
Deoxycholic acid	0.007492611	0.019806018	0.005230184	0.032003263	0.017026076	0.014965326	0.012603985	0.014883274	0.013556044	0.018519206	0.021228526	0.036343441	0.011454203	0.052015999	0.031032312	0.031633841	0.014235733	0.076709774	0.03383288	0.018575762	0.016161546	0.017928169	0.015307605	0.019886315	0.002713673	0.058910929	0.156192024	0.034015102	0.036671855	0.01669305	0.00458487	0.003265187	0.012596973	0.004280752	0.011380674	0.033812032	0.011581361	0.057897026	0.039593076	0.005806108	0.21718783	0.142373136	0.038602984	0.071677018	0.025820309	0.014643564	0.02055978	0.032041035	0.036088428	0.012081765	0.029840394	0.007718832	0.00918461	0.004367015	0.003606228	0.020602014	0.002948497	0.002133398	0.134458766	0.040457838	0.00848113	0.113720752	0.038274488	0.006868683	0.007571623	0.025235433	0.007383306	0.022998319	0.430764379	0.079748768	0.072647695	0.015897614	0.006688025	0.002859966	0.011997662	0.037093856	0.010664829	0.011889161	0.037972505	0.026906017	0.034552161	0.008739649	0.022825676	0.007935482	0.038328582	0.041708777	0.003900812	0.007255156	0.00590633	0.0081602	0.022813628	0.028644294	0.032723423	0.026007785	0.005018322
Tocopherol acetate	0.00749739	0.000930701	0.006113449	0.00065296	0.001859846	0.002453608	0.000553536	0.013556726	0.00086575	0.000714419	0.000578782	0.000794617	0.000412535	0.000733731	0.000705876	0.000854602	0.00043415	0.000934824	0.008627639	0.000596204	0.006271457	0.000572245	0.001166422	0.019913729	0.000835522	0.002746468	0.000870091	0.002224236	0.000960746	0.000820449	0.008138122	0.009395747	0.004269139	0.000685672	0.009566166	0.003619429	0.001327853	0.002106857	0.0038765	0.00081067	0.001414325	0.001829835	0.00136556	0.004135176	0.00288485	0.001199756	0.001157688	0.000734652	0.000797475	0.007964963	0.000780407	0.00069642	0.00759614	0.001124421	0.001132382	0.001039147	0.0009568	0.007355559	0.000767859	0.00538946	0.003439615	0.001218748	0.001345965	0.001642762	0.000602016	0.000457072	0.000590643	0.000685025	0.001279972	0.001261106	0.013015771	0.000548971	0.000299418	0.000745359	0.002970035	0.01676877	0.00129615	0.004331365	0.000501531	0.000408783	0.001033452	0.002915179	0.001028233	0.003424722	0.004807735	0.004356156	0.00101051	0.000699965	0.001013573	0.003835603	0.001492461	0.001425157	0.000547317	0.001558418	0.000635744
Fumaric acid	0.007519103	0.019732282	0.011833532	0.041260066	0.048459417	0.05567302	0.026412927	0.019161552	0.026423124	0.035556223	0.02173938	0.057175274	0.018585694	0.050131253	0.05607487	0.038339777	0.032093824	0.048222574	0.035473369	0.018344722	0.025599516	0.043064484	0.026293057	0.03111374	0.018747094	0.050083629	0.031822086	0.04513414	0.04430433	0.075049316	0.021125516	0.020970887	0.015006181	0.020037615	0.020293127	0.017346787	0.031582154	0.034943401	0.046822738	0.015057608	0.026172779	0.030591369	0.018105168	0.016612843	0.038634391	0.03568184	0.041882855	0.059449253	0.020356198	0.014192331	0.01824672	0.017831267	0.019863264	0.024717583	0.019777433	0.035191168	0.123564311	0.019863591	0.025845379	0.09912767	0.026319983	0.050399881	0.042299414	0.056339815	0.027678514	0.028885456	0.023851435	0.031237413	0.064303942	0.035244129	0.041247159	0.039721959	0.029516197	0.032871795	0.021773017	0.033032078	0.059947831	0.041247605	0.041848249	0.017712372	0.038041991	0.021160225	0.043375345	0.026735578	0.044898403	0.04336293	0.047742752	0.019421165	0.064388122	0.032700952	0.071709608	0.015237971	0.051801382	0.014779727	0.077048871
Galactose	0.007545192	0.348491834	0.000163652	0.416974904	0.214154641	0.095208892	0.089541803	0.036279554	0.090735737	0.002980643	0.151817663	0.096944202	0.022676221	0.110899635	0.010573214	0.169596456	0.027478728	0.085847836	0.015933972	0.137813759	0.002704602	0.143752074	0.323744903	0.043692123	0.139340923	0.006823805	0.006342047	0.006103185	0.150282806	0.094509618	0.034233743	0.042561419	0.046430054	0.087539829	0.004242441	0.001006424	0.179769141	0.140379498	0.007830731	1.709568207	0.070690854	0.108544481	0.15473913	0.001253265	0.001537287	0.001257766	0.007957749	0.020094598	0.197546745	0.005455206	0.15153215	0.043753614	0.020305093	0.479601144	0.167403456	0.0043261	0.117307174	0.103543009	0.146975554	0.104745562	0.044373632	0.00359572	0.014217204	0.190144935	0.004750946	0.156788206	0.076735164	0.242077231	0.007394737	0.653291666	0.005069559	0.023810767	0.07355733	0.679578059	0.003623958	0.005205088	0.159647658	0.020749822	0.159691022	0.339599007	0.101427911	0.116476934	0.123522653	0.10905788	0.126541848	0.122037546	0.130868387	0.152158238	0.136468401	0.020950833	0.065683205	0.023657369	0.224834314	0.028574887	0.035966819
Tranexamic acid	0.007607099	0.058141155	0.007840874	0.053911444	0.128811947	0.011836606	0.026662363	0.006296532	0.140522342	0.050562163	0.078812882	0.075877622	0.046964493	0.007053325	0.059838109	0.092100218	0.052336018	0.015063289	0.005008887	0.024417842	0.00780031	0.024252123	0.089803975	0.007286552	0.00899474	0.003729586	0.003914268	0.004648799	0.0141408	0.014192601	0.004837192	0.003912114	0.005125235	0.007027121	0.009959194	0.004047034	0.008658649	0.003894346	0.002786234	0.016688652	0.002803326	0.007010742	0.006448675	0.003199466	0.00951624	0.02095781	0.019138981	0.004298046	0.010958881	0.007293555	0.01232092	0.01770228	0.001539572	0.005492417	0.022050017	0.006421189	0.005095639	0.008402981	0.036278554	0.001670818	0.011078818	0.002411365	0.005628683	0.014119214	0.027085348	0.00525342	0.012420454	0.00664053	0.015039284	0.025586903	0.006098706	0.022469512	0.067920575	0.106513836	0.006643036	0.010043428	0.012044288	0.002809387	0.004714792	0.006899107	0.003518105	0.00265878	0.004526232	0.003917887	0.005202535	0.005741519	0.004419266	0.007093051	0.061408483	0.002331769	0.002661091	0.006319453	0.0016882	0.009232925	0.014695301
Putrescine	0.007619471	0.058719675	0.007856301	0.054448835	0.128817067	0.011802325	0.027482301	0.006987448	0.142268752	0.050498426	0.079107576	0.076920894	0.047514305	0.007669485	0.060607979	0.092515122	0.053015809	0.015130651	0.005355542	0.025008381	0.007798231	0.024956953	0.092717462	0.007759305	0.009175261	0.004193997	0.004118905	0.005350335	0.015079264	0.014118097	0.005201638	0.004269551	0.005148365	0.00728167	0.010499707	0.004433662	0.009061015	0.003977558	0.003628332	0.016713771	0.003112261	0.007820891	0.006742966	0.003250844	0.011046417	0.019520471	0.019179483	0.004322384	0.011008113	0.007972402	0.012482407	0.01826873	0.00154289	0.005528047	0.022069921	0.006800645	0.005528081	0.008474128	0.036045773	0.000450241	0.011781446	0.002737136	0.005789779	0.018980343	0.027216226	0.005486267	0.012422598	0.006938586	0.015979748	0.032309409	0.000595683	0.023370229	0.06826919	0.106844047	0.007492319	0.000502049	0.016941277	0.003137883	0.000711668	0.006950209	0.003860342	0.003042449	0.004690364	0.003977218	0.005766064	0.006241447	0.004865199	0.007315067	0.061203491	0.002883543	0.003504685	0.006327355	0.001717143	0.0092342	0.015406456
Caproic acid	0.007657777	0.002329104	0.007599667	0.002612441	0.001434877	0.287840854	0.003362669	0.008673995	0.001287798	0.060073098	0.002403073	0.002808129	0.010106965	0.016005443	0.074137281	0.002545914	0.012647997	0.007514801	0.179426947	0.00304043	0.009676743	0.003673039	0.001478607	0.010237346	0.007406565	0.020574611	0.007911459	0.020699686	0.00401121	0.003383779	0.205638431	0.192562611	0.071548611	0.069645302	0.009614886	0.006153066	0.003259256	0.005815052	0.011780655	0.001774398	0.005391131	0.04332506	0.007725165	0.005749623	0.060729395	0.023437193	0.022846284	0.006720432	0.010181305	0.465721398	0.010647328	0.002677079	0.015309497	0.010884297	0.004784909	0.003876949	0.006037778	0.064091339	0.006544086	0.003177766	0.237012982	0.003206466	0.014335352	0.002266657	0.003289502	0.004803618	0.00100063	0.004738786	0.004768878	0.001774571	0.013075764	0.001912713	0.00302003	0.002110997	0.033075026	0.154145589	0.002569897	0.007188105	0.001810584	0.002399017	0.003847328	0.006891532	0.004613798	0.008274764	0.004895375	0.005589054	0.002637016	0.005422442	0.004139947	0.004957144	0.005544716	0.002468482	0.007188263	0.002430107	0.002878024
Methyltetrahydrophenanthrenone	0.007731652	0.007768146	0.007984041	0.011021463	0.009327857	0.009592743	0.009074145	0.010332174	0.0123078	0.008934381	0.010474666	0.011808354	0.009285568	0.010071918	0.009736944	0.011569915	0.009835452	0.011108016	0.00936211	0.005810024	0.011341845	0.00891471	0.011325758	0.01125975	0.00573526	0.010606984	0.005307803	0.008946171	0.011155968	0.01089862	0.008808482	0.00957496	0.007287603	0.00658627	0.00958249	0.006366155	0.009220738	0.009964622	0.01013509	0.013430409	0.0101482	0.008575622	0.0062925	0.009355107	0.007675774	0.007615624	0.009649697	0.007558881	0.008072631	0.010881898	0.005922141	0.007334557	0.008561425	0.004254226	0.007347714	0.01127294	0.005917358	0.005668771	0.008497652	0.00891714	0.007775948	0.009016107	0.003488065	0.003242185	0.004126537	0.002682556	0.008707127	0.001787975	0.010454203	0.01181669	0.011701369	0.010427419	0.0068763	0.005517222	0.006659212	0.006735765	0.004364611	0.009531414	0.010080987	0.008051273	0.009173779	0.01081255	0.00991754	0.011332073	0.009714647	0.00992897	0.009534002	0.010283105	0.011096655	0.009989632	0.011399468	0.013294727	0.010259402	0.012162315	0.012697185
Homoserine	0.007736497	0.004438003	0.008758512	0.006610655	0.014741575	0.018170908	0.007426072	0.010199451	0.024584434	0.01153211	0.015216285	0.009819801	0.005058808	0.00942338	0.015451685	0.021183077	0.006913292	0.005062021	0.011134841	0.006173844	0.014595934	0.010373254	0.01360433	0.013579378	0.007540117	0.00919849	0.009339983	0.008575756	0.003491351	0.003078736	0.010677592	0.010886741	0.005161159	0.007433721	0.003888073	0.008219301	0.019777953	0.010391392	0.006643055	0.018027354	0.009268622	0.004583693	0.007433434	0.008035149	0.019058611	0.004802824	0.004768266	0.006357611	0.003918284	0.011181076	0.003917182	0.003293079	0.003921401	0.007994212	0.006328811	0.01753222	0.014634909	0.005746028	0.001910741	0.007580026	0.009305424	0.004092228	0.003143743	0.024594262	0.00785955	0.010175585	0.003933202	0.010546114	0.012340342	0.07169177	0.015806525	0.006646978	0.008225372	0.005114576	0.00908741	0.004813482	0.025794306	0.006743087	0.010034523	0.006488819	0.006533596	0.007725218	0.007100946	0.009696361	0.008655192	0.008522634	0.007258663	0.001843371	0.006323679	0.005657664	0.009969186	0.004613477	0.006742723	0.004453789	0.01101828
Coniferin	0.007783247	0.008002456	0.007494186	0.009692962	0.004842695	0.005106056	0.008393927	0.011623547	0.005594194	0.004961261	0.007083694	0.005710383	0.007025102	0.004092475	0.00405742	0.005854433	0.005693064	0.004510281	0.002687583	0.009708028	0.003605388	0.004156392	0.00574252	0.012499214	0.004483576	0.003001983	0.002337023	0.002938873	0.005227522	0.014348069	0.00259747	0.003201909	0.002105971	0.004001548	0.002418455	0.003075282	0.00531105	0.007340602	0.004241196	0.011295077	0.004416954	0.003614118	0.0051866	0.002962637	0.002782163	0.002913979	0.002866062	0.002377299	0.003055487	0.004209039	0.003030864	0.002761721	0.002067669	0.00745187	0.004455666	0.004112714	0.004370034	0.003019845	0.004173297	0.00379749	0.002930634	0.003241525	0.00316899	0.006595284	0.003891703	0.003438934	0.005848597	0.004986502	0.010450506	0.004531423	0.003072352	0.004866179	0.003092825	0.003340624	0.003457668	0.002866403	0.006205939	0.005990809	0.004357815	0.010553363	0.008936346	0.004023459	0.00726134	0.00360907	0.003299502	0.002784044	0.003420429	0.004663013	0.004959503	0.002708629	0.00303853	0.002370418	0.003374213	0.003910725	0.003916529
Phytosphingosine	0.008041873	0.013945917	0.008226486	0.020283463	0.018247274	0.013597488	0.006386382	0.012111218	0.013248801	0.007977109	0.015315122	0.014183855	0.008397178	0.008484574	0.008453927	0.018240676	0.010109803	0.009830747	0.007938288	0.006429162	0.009383055	0.006936763	0.018697842	0.016339358	0.008938635	0.010663763	0.008993803	0.009163752	0.007088122	0.007323052	0.005796524	0.00649567	0.005880049	0.006698435	0.004489985	0.005136755	0.00742402	0.007428562	0.00634582	0.016823056	0.007073252	0.006122361	0.009971136	0.005474603	0.007312824	0.006444063	0.00569709	0.006301282	0.001751805	0.008000702	0.001396298	0.006675434	0.005735445	0.007957421	0.011208707	0.007560804	0.012189483	0.011601216	0.00982735	0.007797567	0.008043448	0.006621102	0.007704051	0.012742145	0.006157622	0.007276192	0.021754357	0.008956912	0.010765413	0.015533514	0.011272901	0.013957563	0.010288477	0.007103585	0.007216987	0.007652107	0.013598341	0.00808541	0.012005103	0.014270917	0.009866802	0.008911152	0.011747073	0.011235265	0.009320727	0.008189689	0.014547253	0.011663216	0.007447011	0.012080996	0.010060352	0.011804419	0.011124393	0.012128375	0.04314493
2-hydroxy-2-phenylpropanoic acid	0.008061116	0.010441565	0.007968117	0.013965541	0.213077499	0.04826908	0.090312731	0.038044553	0.68023918	0.03159212	0.012551019	0.062795587	0.004855569	0.053505295	0.034766741	0.014566891	0.005357575	0.023200608	0.007904108	0.072540295	0.007226498	0.092785188	0.029285185	0.04742152	0.003356595	0.080115069	0.005565971	0.07522526	0.008065478	0.071378511	0.012604655	0.013914531	0.006406097	0.004684427	0.01149849	0.005360896	0.008574561	0.023389799	0.055304912	0.056750952	0.034373943	0.021029167	0.002971079	0.006842757	0.032937969	0.032318653	0.030515178	0.01684715	0.006106688	0.016331418	0.006481579	0.008382514	0.008319617	0.011752573	0.01433279	0.024696246	0.015489474	0.013895567	0.007352466	0.013123027	0.030669713	0.018102689	0.076130721	0.064053122	0.006202478	0.020047818	0.101499851	0.022391551	0.021500278	0.056915569	0.009612448	0.005072629	0.021143695	0.005689724	0.086465878	0.013717044	0.062888855	0.046162546	0.049733602	0.007025524	0.027778795	0.051917987	0.030361554	0.063443628	0.040458033	0.038343433	0.020874256	0.004270999	0.014029959	0.01209374	0.006119939	0.071743017	0.05474997	0.071678516	0.012180816
Aminoadipic acid	0.00811622	0.037217362	0.005805894	0.048516846	0.034266398	0.025700139	0.020928697	0.023672354	0.017317373	0.004061244	0.007711696	0.0650453	0.01375249	0.025638595	0.005926815	0.010253232	0.017492304	0.027837293	0.005475663	0.02496399	0.013740888	0.030685523	0.0044893	0.036555496	0.01074529	0.020330038	0.026333343	0.019149133	0.020098151	0.006932663	0.010865968	0.011068115	0.011398698	0.024604868	0.032964934	0.005513451	0.061061258	0.027976705	0.040166996	0.005831092	0.02901682	0.00708978	0.010484554	0.00538637	0.021080592	0.011424079	0.011569133	0.00824718	0.015988488	0.060033614	0.015263791	0.023751941	0.004312129	0.006792869	0.006496618	0.018111546	0.011802237	0.012611833	0.03901717	0.032959347	0.100910842	0.013647011	0.017422252	0.008402233	0.008917619	0.007437095	0.007512415	0.007049472	0.021408867	0.01060276	0.024755498	0.008652834	0.010992116	0.039395595	0.008365535	0.028481907	0.010012859	0.018434483	0.012944993	0.019175629	0.008710846	0.00444479	0.009930611	0.005827677	0.013425624	0.011646001	0.022936286	0.027552843	0.00781977	0.01116529	0.012302588	0.011882115	0.013600458	0.010707624	0.045455962
Pipecolic acid	0.008161354	0.019816143	0.012406787	0.060937047	0.046090472	0.04627907	0.02176841	0.025789027	0.04482062	0.023030173	0.023800644	0.042692247	0.020444871	0.05624146	0.04754735	0.049437256	0.043967796	0.046706611	0.03588438	0.015362592	0.038833495	0.040680805	0.047582876	0.047324128	0.022782718	0.030109997	0.019643292	0.039685426	0.030813204	0.020612095	0.024262444	0.019246803	0.021910992	0.018072948	0.027491175	0.027806743	0.022848831	0.022368947	0.025060251	0.020369475	0.019387038	0.033418678	0.016194212	0.017935333	0.036892452	0.064933798	0.054009738	0.024043429	0.027839075	0.026557579	0.03850539	0.03195685	0.037982883	0.027326343	0.019684994	0.035160044	0.023065421	0.020823234	0.042222619	0.047546099	0.030445507	0.029751481	0.040481438	0.061742584	0.039582719	0.031188124	0.027503349	0.040565029	0.037001194	0.038783071	0.045950541	0.038411134	0.028011369	0.0257043	0.037676557	0.035198095	0.040037969	0.038639198	0.046236126	0.025796547	0.043168224	0.033569004	0.049767407	0.040164618	0.040234236	0.043664557	0.034725525	0.029854431	0.043223221	0.030670426	0.038574355	0.026203932	0.038290625	0.030656905	0.064705541
3,6-anhydro-d-galactose	0.008310949	0.033639792	0.008706092	0.043173037	0.023368218	0.017602431	0.02188366	0.051346406	0.016479497	0.006884474	0.0118717	0.016506477	0.021103106	0.023980097	0.006729384	0.013663435	0.027900592	0.016058354	0.044937199	0.021294918	0.009842149	0.024852312	0.009291201	0.068446551	0.006123997	0.009852661	0.043540203	0.008852807	0.017879422	0.006813761	0.02815779	0.029182106	0.011898683	0.017614007	0.009459451	0.011321491	0.037362246	0.019494217	0.020919183	0.016482275	0.024069025	0.005553298	0.006503674	0.011090931	0.003752362	0.03157997	0.030141164	0.007804966	0.002156818	0.03159084	0.002101237	0.033784405	0.013216694	0.013824447	0.003883817	0.031280614	0.008163658	0.017201706	0.030759046	0.015361039	0.026159951	0.016078371	0.033793662	0.014894506	0.006669996	0.007180638	0.006728508	0.009531771	0.008791186	0.032471394	0.004774102	0.010225273	0.009406951	0.006975235	0.004275896	0.026454659	0.013617415	0.011205641	0.007041279	0.008483257	0.006933234	0.014886323	0.006595279	0.018180806	0.01961593	0.018818931	0.011489325	0.019550772	0.011331413	0.023549219	0.017539106	0.00390164	0.010605829	0.003257572	0.013883116
Dodecanol	0.008378989	0.005268993	0.020587441	0.01152563	0.01140612	0.009834706	0.016679367	0.012168261	0.013532722	0.009331248	0.009707371	0.008781336	0.008416421	0.012181136	0.012553306	0.01306887	0.011715652	0.006723482	0.006366737	0.006353634	0.005982062	0.00649442	0.005937789	0.008715063	0.003269585	0.002328282	0.002054898	0.002922634	0.003032763	0.002099166	0.002364882	0.002028025	0.002634724	0.002689841	0.002340795	0.0031415	0.002407847	0.002341761	0.003198314	0.002020918	0.002591676	0.002056085	0.002374145	0.00229801	0.001989117	0.013480558	0.002970973	0.002633307	0.002429332	0.002209746	0.009250668	0.003404654	0.004293147	0.003505893	0.00167069	0.004047532	0.00231133	0.002209123	0.003114317	0.002036097	0.00231934	0.002729549	0.004423696	0.007909826	0.007162858	0.007623689	0.006525014	0.009052611	0.010540264	0.005878676	0.007739143	0.008521296	0.003837767	0.005937962	0.00451375	0.004808493	0.004565726	0.010247085	0.010842575	0.01021565	0.0105256	0.005895188	0.014200082	0.009007268	0.0104065	0.011022797	0.006383335	0.007077596	0.006761553	0.008486581	0.009805589	0.006130697	0.008414432	0.006923249	0.005436535
Formononetin	0.008664577	0.005133384	0.019942617	0.007401113	0.005670511	0.007905256	0.026974194	0.019359984	0.006359699	0.011046104	0.012556798	0.007417789	0.006218406	0.005595839	0.004403659	0.006204439	0.003870881	0.008686607	0.004733929	0.009961123	0.003178298	0.003524674	0.002301659	0.007579609	0.002507576	0.011302912	0.003830166	0.007644718	0.004795632	0.001560927	0.002425052	0.002697601	0.002797648	0.001849606	0.004517126	0.002905619	0.006233642	0.004148578	0.015891632	0.004854163	0.023963273	0.170450319	0.009351261	0.00412748	0.003600941	0.004465858	0.004436442	0.002248822	0.002057091	0.006048853	0.002141847	0.001418668	0.004389371	0.004109075	0.001356246	0.01145987	0.002331092	0.007764018	0.032273364	0.004860459	0.004548389	0.004877135	0.004620296	0.003768954	0.001446207	0.0016877	0.000996567	0.00305587	0.01368335	0.007105132	0.01970152	0.004717304	0.001908971	0.007173439	0.004356125	0.007908567	0.003294112	0.010446703	0.004337121	0.003544866	0.00848415	0.013210694	0.009884946	0.019965324	0.015214704	0.020934337	0.00415961	0.01445232	0.005179081	0.004715066	0.009207601	0.002199196	0.015141899	0.001674238	0.003369978
D-ribose-5-phosphate	0.008671551	0.185249283	0.007786677	0.216181046	0.021113011	0.006652635	0.059969251	0.002731089	0.055214958	0.034714336	0.02213757	0.009040859	0.008367568	0.141482951	0.036509498	0.022744677	0.009307084	0.009541419	0.003620502	0.055485057	0.006923672	0.052745926	0.00512765	0.006619268	0.000496661	0.003663847	0.015430224	0.003548725	0.023756639	0.060123035	0.000515139	0.000586247	0.001713831	0.005337198	0.000353734	0.000722932	0.043126309	0.005082508	0.016047985	0.082176391	0.000105476	0.03206886	0.002339567	0.000930339	0.000758109	0.000446516	0.001236729	0.000416468	0.002024692	0.000487599	0.001776191	0.012567506	0.000298181	0.006802488	0.01482776	0.016807599	0.028416119	0.004129348	0.000934838	0.039156708	0.001985766	0.039324415	0.005123569	0.111471175	0.029998078	0.006603485	0.040976946	0.00767636	0.01670598	0.107990457	0.001089605	0.006637827	0.036655394	0.036941048	0.002994091	0.00011031	0.109695541	0.002016527	0.004632621	0.021061856	0.003637076	0.000307083	0.002835659	7.72502e-05	0.003271647	0.000711177	0.022359776	0.004477541	0.126146873	0.003502242	0.016133483	0.004891364	0.000125749	0.004173466	0.065610022
Adenosine-5'-monophosphate	0.008815529	0.036218362	0.009516394	0.043734788	0.006917701	0.008359924	0.010923503	0.005265067	0.018393421	0.009005764	0.006947884	0.003607271	0.008952631	0.007109653	0.009083704	0.006146838	0.010159307	0.005923831	0.00377256	0.009395085	0.007942567	0.009385959	0.004917676	0.005236908	0.004534737	0.005393016	0.00626476	0.005363806	0.004467254	0.012793734	0.008289244	0.008813554	0.00227152	0.004704643	0.000339754	0.003031809	0.010883953	0.002952831	0.000178981	0.010870494	0.011179812	0.008702964	0.005047425	0.00326282	0.000127344	0.002705343	0.003219443	0.001590567	0.003410725	0.003356993	0.003131055	0.014771391	0.000795875	0.005223651	0.005602979	0.004426051	0.013322836	0.005027005	0.002986123	0.005681187	0.003607351	0.008694568	0.000872397	0.008950704	0.005828974	0.006820578	0.001918733	0.007577949	0.004976771	0.020882383	0.002746851	0.001894067	0.005797914	0.00958526	0.004947538	0.003819304	0.00857074	0.006185089	0.002420834	0.005672519	0.003983298	0.010395227	0.003891099	0.01250997	0.005163257	0.005116483	0.009633829	0.002146197	0.022087692	0.001991791	0.012580663	0.002033027	0.003826333	0.002939042	0.011385468
Citric acid	0.008986822	0.037487776	0.007883977	0.040982854	0.016538932	0.024365174	0.158226418	0.005210254	0.015808325	0.022880576	0.029879825	0.017955381	0.062847414	0.035543768	0.019435074	0.027037305	0.061469311	0.033101832	0.005954849	0.164468481	0.008622073	0.153987393	0.006121352	0.006162039	0.014644484	0.040702733	0.096465551	0.034414113	0.26039739	0.019121406	0.1252969	0.134146166	0.17562514	0.079755693	0.05601281	0.034744937	0.00665465	0.106877523	0.027373656	0.024207374	0.010201047	0.25221368	0.01828207	0.039706488	0.022902992	0.05137658	0.052684407	0.060698787	0.020747491	0.005338965	0.021083395	0.021524184	0.020739547	0.01989447	0.007295812	0.029154643	0.019862818	0.007790996	0.068064189	0.302763326	0.056177437	0.033297323	0.110518469	0.036636237	0.026593339	0.193391471	0.058557571	0.193852235	0.033188567	0.015715171	0.010528936	0.019684915	0.023560348	0.01316808	0.065214344	0.00314927	0.044534104	0.010670559	0.087842689	0.013283866	0.02233649	0.030323916	0.025880634	0.03726223	0.118357133	0.093573019	0.117152973	0.034008526	0.033548299	0.060896074	0.28921891	0.009253046	0.088893969	0.00865112	0.113322186
