Sample	Ctrl1	Ctrl2	Ctrl3	Ctrl4	Ctrl5	STEMIT1-1	STEMIT1-2	STEMIT1-3	STEMIT1-4	STEMIT1-5	STEMIT1-6	STEMIT1-7	STEMIT1-8	STEMIT1-9	STEMIT1-10	STEMIT2-1	STEMIT2-2	STEMIT2-3	STEMIT2-4	STEMIT2-5	STEMIT2-6	STEMIT2-7	STEMIT2-8	STEMIT2-9	STEMIT2-10
Label	Ctrl	Ctrl	Ctrl	Ctrl	Ctrl	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2
2-octenoyl-L-carnitine	61673.75518	146553.8975	32432.03658	17006.68476	69668.65748	128223.1016	67841.64511	18722.13175	36641.15492	86535.37678	115365.0963	54620.66036	90646.27302	48120.27321	69744.8835	139140.5815	50920.7173	23620.68481	24721.68783	57894.54653	85137.24535	81046.40412	54399.39146	33735.58348	150261.1007
Octanoyl-L-carnitine	134715.1374	51852.32805	20970.82294	37456.40159	40939.73741	405780.7487	69728.93376	22413.12863	46271.49102	28027.65221	59225.32164	15919.66913	52221.63932	21601.27982	38480.25595	99539.85485	35322.53789	39001.62115	32900.57489	28679.96098	88681.21494	29950.64733	51191.73018	22545.83959	94442.03125
5'-Methylthioadenosine	0	0	998.0085862	0	0	4335.554526	0	0	0	0	0	0	0	0	0	2909.548748	0	0	0	0	0	2247.474306	747.8948013	0	0
Sphingosine	3840.90049	34757.2836	2868.580547	5611.094438	3676.159541	1781.963632	7516.911797	2593.41804	5560.585938	5432.363154	8962.334263	2619.948227	2891.518813	15330.03733	2520.76947	3049.105444	9342.594029	4639.965516	12666.57536	6315.409281	3780.757899	6218.809091	6138.300924	3651.19333	8069.972168
3-Hydroxydecanoyl carnitine	5824.400518	3839.105512	1511.663627	3164.022401	0	23420.96091	3361.220837	2540.693457	3346.331735	3234.643887	2279.997321	1384.023723	23934.63018	4671.868719	1656.01288	3187.571391	0	3171.082038	0	2436.699914	3445.595048	1292.489945	4447.797804	2491.817366	6101.947222
O-decenoyl-L-carnitine	103405.7151	35417.79247	20028.2612	32576.14436	31849.7662	280816.4255	50354.36796	12093.69617	30397.02966	12558.70012	58755.41386	16002.92912	29419.95213	11704.63398	25122.08034	76177.87145	22688.83779	31258.96251	26290.70046	21121.56314	82901.66904	23398.72606	46044.92005	22074.87416	83868.61393
Decanoylcarnitine	225971.6784	82737.62651	35240.69524	63568.91345	59382.06285	488953.5094	125196.7702	25596.61275	75079.04156	34565.03347	94902.73465	23260.36975	90192.52027	26293.25511	63562.63704	151265.5103	59297.64562	61993.23566	48979.61917	47193.16488	143788.8963	37097.84057	94884.84878	36204.65022	148003.5759
Undecanoyl-L-carnitine	5560.714515	5109.541198	1635.778668	3157.884676	2165.846124	3908.916355	952.3628071	0	1767.890011	0	2131.71429	1358.326467	2001.698572	964.8034037	0	3256.579983	2124.526134	1781.378121	2753.737142	3862.476574	1556.496257	4166.88885	3695.081626	1792.832948	3140.30717
Dodecanoyl-L-carnitine	50544.09152	28402.16926	16962.3087	34904.26406	16018.70135	143948.3688	37110.0014	9968.915984	53826.83643	10544.0662	33963.71132	6660.466425	57164.95579	15097.6999	18381.81294	27812.15218	19239.8957	17518.17301	16763.60649	13752.89024	37904.62891	9335.317609	32763.18952	10335.81415	38114.56638
AMP	0	9294.256725	0	0	0	3436.348487	0	0	0	0	0	0	7304.326746	14060.2641	0	0	6134.313516	0	15260.85408	3125.067142	3789.273464	0	0	0	3979.105627
